"method","t_ladder","sim","iterations","m0","m4","m5","m6","m1","m2","m3"
1,"1",94,2,52837,0,0,0,6189,9092,31882
1,"1",95,-1,28017,17540,907,3536,0,0,0
1,"1",95,2,52207,39925,5009,2859,0,0,0
1,"1",96,-1,26568,0,0,0,15082,6415,1935
1,"1",96,2,53606,0,0,0,22517,22699,1178
1,"1",97,-1,27508,21437,0,1055,0,0,0
1,"1",97,2,53014,28498,18488,0,0,0,0
1,"1",98,-1,27873,9886,359,11882,0,0,0
1,"1",98,2,52733,43742,0,3525,0,0,0
1,"1",99,-1,29915,0,0,0,11190,7738,1157
1,"1",99,2,53184,0,0,0,20773,26043,0
1,"1",100,-1,27295,0,0,0,22705,0,0
1,"1",100,2,58445,0,0,0,32380,0,9175
1,"2",1,-1,42686,4423,2451,0,0,0,440
1,"2",1,1,42686,4423,2451,0,0,0,440
1,"2",1,2,83326,5282,3616,0,2513,1113,4150
1,"2",2,-1,44977,0,0,0,4084,299,640
1,"2",2,1,44977,0,0,0,4084,299,640
1,"2",2,2,84464,7148,3590,2667,2131,0,0
1,"2",3,-1,41709,0,3495,0,657,4139,0
1,"2",3,1,41709,0,3495,0,657,4139,0
1,"2",3,2,87633,347,0,0,1429,10591,0
1,"2",4,-1,42736,2216,0,0,2579,0,2469
1,"2",4,1,42736,2216,0,0,2579,0,2469
1,"2",4,2,88467,0,537,6302,2371,64,2259
1,"2",5,-1,43185,5650,0,1165,0,0,0
1,"2",5,1,43185,5650,0,1165,0,0,0
1,"2",5,2,81245,282,1861,4814,11798,0,0
1,"2",6,-1,45669,0,0,0,2986,0,1345
1,"2",6,1,45669,0,0,0,2986,0,1345
1,"2",6,2,86535,4319,384,290,8472,0,0
1,"2",7,-1,45456,0,1324,563,1276,0,1381
1,"2",7,1,45456,0,1324,563,1276,0,1381
1,"2",7,2,86903,1195,3321,0,5806,1322,1453
1,"2",8,-1,43169,6690,141,0,0,0,0
1,"2",8,1,43169,6690,141,0,0,0,0
1,"2",8,2,83390,7148,0,0,756,8219,487
1,"2",9,-1,42862,0,253,3655,3230,0,0
1,"2",9,1,42862,0,253,3655,3230,0,0
1,"2",9,2,88237,2954,0,3397,4224,0,1188
1,"2",10,-1,44475,3318,0,1696,511,0,0
1,"2",10,1,44475,3318,0,1696,511,0,0
1,"2",10,2,87303,0,0,0,5559,0,7138
1,"2",11,-1,44165,0,115,0,2570,0,3150
1,"2",11,1,44165,0,115,0,2570,0,3150
1,"2",11,2,86225,5929,1424,0,6229,193,0
1,"2",12,-1,43149,0,0,3067,1904,1880,0
1,"2",12,1,43149,0,0,3067,1904,1880,0
1,"2",12,2,84032,748,1910,0,1007,0,12303
1,"2",13,-1,43082,2209,0,0,4709,0,0
1,"2",13,1,43082,2209,0,0,4709,0,0
1,"2",13,2,84744,0,0,0,10695,1971,2590
1,"2",14,-1,42167,0,0,0,4691,314,2828
1,"2",14,1,42167,0,0,0,4691,314,2828
1,"2",14,2,83857,1304,3754,0,1096,680,9309
1,"2",15,-1,44189,877,0,3584,0,0,1350
1,"2",15,1,44189,877,0,3584,0,0,1350
1,"2",15,2,88045,5123,3632,0,1774,0,1426
1,"2",16,-1,41102,2620,4273,0,2005,0,0
1,"2",16,1,41102,2620,4273,0,2005,0,0
1,"2",16,2,90540,2629,2706,0,1398,0,2727
1,"2",17,-1,43403,3447,0,0,1998,1152,0
1,"2",17,1,43403,3447,0,0,1998,1152,0
1,"2",17,2,88103,1272,2718,0,6080,0,1827
1,"2",18,-1,42346,0,1919,0,887,4219,629
1,"2",18,1,42346,0,1919,0,887,4219,629
1,"2",18,2,88805,1981,1312,0,3404,4498,0
1,"2",19,-1,44391,3204,1039,91,1237,0,38
1,"2",19,1,44391,3204,1039,91,1237,0,38
1,"2",19,2,86344,4551,2207,1262,0,5636,0
1,"2",20,-1,46353,1114,0,2533,0,0,0
1,"2",20,1,46353,1114,0,2533,0,0,0
1,"2",20,2,85970,2504,0,7328,1417,2781,0
1,"2",21,-1,43787,0,0,0,4074,474,1665
1,"2",21,1,43787,0,0,0,4074,474,1665
1,"2",21,2,84023,0,3654,0,10184,474,1665
1,"2",22,-1,42030,0,1894,3579,2084,413,0
1,"2",22,1,42030,0,1894,3579,2084,413,0
1,"2",22,2,86204,2224,0,4402,3811,2271,1088
1,"2",23,-1,42626,2055,0,115,0,0,5204
1,"2",23,1,42626,2055,0,115,0,0,5204
1,"2",23,2,88633,0,0,0,8445,0,2922
1,"2",24,-1,45805,0,0,0,1932,2263,0
1,"2",24,1,45805,0,0,0,1932,2263,0
1,"2",24,2,86317,0,2536,1511,0,2039,7597
1,"2",25,-1,45630,1895,0,2475,0,0,0
1,"2",25,1,45630,1895,0,2475,0,0,0
1,"2",25,2,89756,0,0,0,5485,0,4759
